"x","y"
181107.502794174,712099.933864477
184581.770890543,722986.990573395
188348.921428577,730855.676008046
191412.710802895,741015.584414905
195478.217001526,745400.628897403
196845.099515183,752346.63377769
201503.750883984,759712.808148884
205190.722306257,767476.707951592
203369.720091335,766778.037324812
181113.840384626,747217.091625832
175495.816673296,743749.596200467
168153.731722395,745154.674510729
162629.26058941,747788.330523247
158492.83881792,752915.849073939
157064.846922968,762390.874834412
151644.473075396,762959.351086971
147093.344965928,764855.590140852
147226.178189221,766111.829768782
153522.467727153,770858.062289443
163215.371843893,772051.626376529
172637.42867007,779720.046490356
164978.397270901,785680.17059531
165748.520632232,787390.852075741
172946.868421253,791702.79836014
182585.750718914,806991.115079397
185123.676551846,821399.279534962
181304.883025274,828431.041024671
180033.648683047,832976.429245666
171976.128416036,838407.997804821
170943.918235005,844856.206484995
172109.390014606,848353.71956812
175011.276715482,851673.182279279
179237.132544666,854154.061702394
185767.064257215,856396.741523698
180117.929893944,859477.165165711
178134.863477162,862864.635215994
176757.891719706,867690.699682037
176758.136002552,870441.767287008
180417.444033737,882503.140385778
182428.703055061,887448.869702801
186162.673019891,893697.389133565
201511.989103071,892542.173446164
203419.770728147,895296.009647441
205166.004980697,895319.49427204
212896.828347424,892358.892768508
211861.629448103,895200.484190888
199786.952046555,911089.401042827
198787.597005649,914053.452428807
202840.934067192,922100.633424406
203287.393589683,925754.347021054
202949.072863294,929703.077552137
204134.839118451,932633.881868863
208237.258621876,933848.352368738
220523.41015842,933129.069025296
223616.036660146,934383.369320408
222414.618103528,938411.526099531
219795.971857408,943757.117781264
219440.232160358,948161.758086194
220285.162131844,951999.520476705
220798.542266821,959778.099427898
221510.672532498,963197.395928653
224638.980477467,968222.405014476
227097.200368284,969647.892785935
230098.867274627,970414.1363984
236711.059753865,968405.866924322
239174.240507417,966218.747883657
241903.386877798,961181.363874086
244086.105759257,961491.006756424
252630.682307052,966509.08917209
255163.757991139,967181.53836054
258349.236383116,960866.411636652
272757.955065738,965316.460945982
291964.172025472,966951.387713476
303540.114554178,969900.419601856
315664.833031345,970799.14586596
327027.396159318,974256.629008265
338958.318411477,972359.759154538
339324.535816751,970206.099630293
338650.771479085,967236.755655771
335453.138939437,959126.226290366
335801.693117855,950012.231797247
335068.874931871,947261.933792732
333616.207265265,943882.209114398
329081.382062506,937604.596956934
317256.362145876,928748.041692522
295337.194109573,908376.368791112
282342.207487826,898371.378554183
280442.637399689,893439.601217903
279288.204198863,886538.660651036
286889.970768058,884940.948433658
289776.184891797,882510.954033955
287847.913614637,879039.781390213
276149.393106173,867143.756463446
272456.224045555,856194.139839207
281199.534559836,856320.083379051
NA,NA
-121219.745880715,223171.631843808
-119821.640626825,224894.571749158
-123517.332719556,226193.904756264
-146044.10675523,223860.31501852
-154139.285026916,220711.374427165
-161926.437206506,220402.496182208
-157703.354233163,226097.070962186
-146921.130806383,233348.231506538
-141209.863296721,236701.731949942
-137818.149938672,237908.78565885
-133620.456570277,242413.309954981
-122673.5908139,246881.208036187
-157296.429557816,239018.672533489
-165913.868401205,241403.448774586
-167615.835526021,244839.822250547
-174618.313558178,244121.638242907
-176310.741236715,252166.737017599
-164870.632470609,262740.232441489
-158426.124882027,267123.295301902
-151153.53651469,269067.101888768
-144017.952583603,272236.367180413
-141006.43160405,276747.372639259
-143990.009501494,278616.471801794
-164180.344130925,279656.895215737
-173670.187959353,281784.388113443
-172709.024884959,285515.399593091
-170453.324960377,289507.689576939
-159700.218309864,295547.664097304
-154202.848713315,296091.971858744
-149494.844862765,294870.911240202
-145027.035271795,292507.658526644
-141492.258696447,289681.613810873
-130089.806192563,289835.960660768
-134285.666306179,294934.271571014
-134094.806193303,304349.115525012
-137338.122734743,307873.97897739
-132280.064478015,311695.176863825
-126751.467361726,313753.550452016
-117063.995856128,321758.1495921
-113814.918253725,322788.954700638
-96338.868980879,323168.64988134
-77273.4448011506,326008.883672867
-58233.3823323645,330726.65225427
-67319.542925058,335255.260540789
-71369.3191900481,340480.286105694
-79576.2282716113,331517.879173854
-85176.186179233,328336.537164553
-100159.246393192,327860.047154553
-104723.104100927,329433.938139389
-110994.907113448,333126.512726241
-113162.477833844,332199.537878434
-115310.921334087,330082.188935966
-125605.50356927,326385.56482001
-136021.9774851,326373.336920963
-123114.630315049,333774.035038529
-106405.513129995,346916.14107917
-102547.206335547,351229.042670388
-96918.9341715885,358838.743554202
-98025.5025291992,362601.504938643
-100911.9778432,364978.415661878
-88294.6549449609,380531.942539196
-84156.9668463712,383170.835613147
-77144.2516128726,382955.879850108
-71776.8053443263,385092.308852143
-69527.4647573127,384880.819245957
-67410.3383659986,385668.49290807
-62450.9712155103,390229.145110628
-69029.2574514209,394086.902042962
-75976.9770941227,396432.114610077
-98154.3604335646,396957.593221792
-101008.38248094,397636.357420075
-103572.853021448,399458.826864935
-105104.85579752,401857.763831457
-105830.109919324,407667.601056309
-107303.034611153,409107.980865892
-112258.549956804,409642.851839324
-117329.061939202,408441.14508334
-120720.025711245,408983.6437686
-123792.319311974,411834.947920643
-117818.92447741,417042.554310516
-124538.042246473,419167.926638072
-131619.275704739,418810.182170089
-137210.745197788,421222.506184272
-136976.849533573,424877.553540308
-133941.740204162,428207.718058655
-136979.401790134,432038.535715215
-137190.865745456,436469.095217598
-133295.619829936,438191.078887993
-129390.606828132,437029.057245504
-120902.008691092,439334.508359559
-110327.488727001,439747.824589545
-118896.758436662,443904.559431867
-122143.742381547,447019.780492401
-121848.429733176,451199.007479028
-120746.235873956,454679.082490298
-109786.087632237,459562.364433916
-98536.9281692127,461027.23415711
-98918.4693039631,465080.066498437
-97691.5440360951,469288.812834089
-108611.794643647,471731.162111256
-119866.455323393,469916.02739782
-117779.33837722,477980.482538922
-114342.361714796,485087.854605575
-113284.126077148,489911.087661999
-113220.224648075,495190.853322404
-118559.92162069,493530.828258848
-118323.443720192,500958.935467489
-119931.49587059,506254.060961469
-127850.825516647,503637.900733262
-126889.099589807,510276.829370605
-124189.428656849,514685.299110303
-120033.489658239,516256.172059977
-116237.301246389,514936.171920639
-108995.7903562,514210.26407529
-101635.245960166,516936.997662912
-91490.8078337694,516741.844410117
-75592.4173211476,513943.664172269
-65586.3837350244,502929.382348639
-62558.2045045199,504407.288446174
-57521.8565733547,510207.261879102
-55385.4310918482,510688.914497093
-39042.0412707721,506342.021011196
-29061.5517641834,501768.514449018
-26193.6508787256,502632.680533412
-27035.2833827077,509700.413736737
-30133.3180454124,514837.254258406
-25089.0138307762,520713.482527829
-19290.1793066141,524473.278892611
-15486.7475325771,526267.161253856
-6923.0370646806,528153.754133416
-3070.95710037503,530318.66183185
61.4228559673065,538195.332749903
4491.89996988646,544598.242265853
-16642.2477708479,542968.025906608
-35679.3800309912,552824.365167656
-32002.3251298745,558165.288975007
-27527.9841745052,560970.335607826
-20106.6357822028,562741.803627983
-19151.4011664531,565622.118137358
-15288.5150342243,567734.266404839
-8694.37078165915,573612.064669322
-10125.3741755668,582212.770093941
-8382.34684625082,588247.612767239
-3713.38210263592,591856.08098259
-1848.00084625464,597481.798276906
448.460900381149,601538.196206908
9290.68126893375,602274.031368236
17998.3311971468,605475.398216816
20984.4560106107,604835.991324644
30936.5704316537,604906.496702865
34150.0505586012,603044.750080128
33962.5092528299,610056.415872028
40094.5324391371,610464.167346686
42349.1390633861,608883.058350018
42992.842344421,603873.162583447
45496.6639461722,600510.627111337
45911.3067818678,594979.688805212
43722.9306063458,590907.198319247
40363.8265663123,587907.219122797
42930.920561383,584353.535151163
38045.7793681416,578697.93402402
43003.5848965234,580875.358334973
50234.4570208198,586224.766599482
50261.2435553794,591064.568524399
49591.0696779554,597204.113079463
48148.1347608076,602810.435522269
49487.8595232473,608752.883815934
53564.2030387807,612214.088096028
63636.6020736117,613333.662502761
60093.2334973146,620471.48418408
63760.1965965788,620817.235575496
67583.7851869173,619096.843732004
72973.4659749073,613345.985290857
78696.553842283,608730.066510877
84716.7723724878,604974.340324514
78219.9805553786,598787.211380178
70472.5985148102,594740.932055645
67182.0335953207,589955.73387704
69443.9245943973,585863.961332598
74348.3884044541,584542.151503614
79066.0731068343,587810.565192099
85200.2665732611,598754.75057896
88951.7871428633,599204.176478349
92965.0365428487,598002.54911183
101076.965743232,598876.332509452
115647.181686442,603225.829748606
121989.123388389,602909.794617585
130781.131614003,599581.530906688
137464.037639567,599240.12845884
142929.449661229,590791.890292608
145387.202547185,577838.903300236
152132.735703441,564802.016336006
161307.938835799,553293.659473781
161343.95560938,546556.334466584
157648.926802348,543137.942898154
150069.389123114,539058.677444966
149835.981704586,534268.313780877
154813.342607185,536419.030253195
159052.454190952,537307.335434311
169058.046813775,535712.505223928
172332.191068791,530663.441517746
174405.46300899,523249.131066076
175387.898603546,517196.477139625
174193.04469375,510729.098937553
171574.710538958,512928.080188468
169105.690389849,518893.743279433
166176.081014672,521732.858542691
162687.200091113,523367.466013527
163888.508735289,515290.797246292
162694.131070948,504633.060342838
164204.502775852,503542.253423476
169004.203853829,503112.048981739
165263.944978541,492327.688597181
158517.057640943,489699.818003566
150764.997197646,488997.861603429
148698.942456987,485222.481720364
147027.175816857,480304.342925094
142587.23561144,473078.716062539
137034.295128208,469176.248202897
130509.781550532,470401.723746344
124266.378512589,474098.544186984
126798.618595276,470020.43196304
127791.039813848,465914.614185804
122873.256067739,464686.578455657
117883.923962228,465816.028961746
115262.531013677,463317.688787204
114788.887969621,458225.254695292
116094.341198797,451547.37103353
119193.372887227,446679.531577578
121269.404753017,436008.491267101
122829.633419894,424220.646745867
125922.307306297,416974.607246405
126135.052279246,408193.235389493
125367.490694741,403929.6356782
125561.385919426,396173.512020353
123903.823755979,393541.143385479
124610.208355063,386229.096553512
127913.732158096,370991.715231663
129261.325143207,362534.321130172
129415.253183925,344229.050147141
126065.207676042,337562.451600738
121710.642656484,331303.675469563
118659.442254706,323768.47018181
116158.523297095,315586.871631812
114156.996730344,302278.945457073
104525.467967697,287110.092837655
100579.967344951,283438.005725799
96129.4992059856,281303.292927392
104879.579312924,269762.368874502
96874.3547255764,265339.369113089
88367.7251676441,264321.09126499
79240.4139104694,267662.261535347
73421.4736338266,267705.6833884
67892.8384445817,264509.525378464
65662.7416313015,262501.222742737
64064.5100293361,263650.650208039
61188.9584535672,272885.552504518
57988.5724141244,263772.666717233
52415.7348620262,261189.515190103
43270.4390282893,262472.752259703
27727.4255810067,261129.931971337
21614.831695118,258930.546155047
18841.20201492,254979.598444611
16646.3281479778,250335.626351741
14023.90011703,247695.388363366
11188.5725901689,246420.852903103
-993.093921470921,243839.254615541
-3453.57723327575,242618.48399852
-9602.50538169895,235344.644328576
-17217.7341036948,231480.355153329
-23333.223914925,230645.183425958
-28279.0355895359,235595.031730467
-30235.8292981014,238483.974149884
-32587.1645056256,240069.604863617
-40779.5481475783,240573.828582596
-38321.1719440972,238958.199442253
-36930.5887163842,235639.564546328
-36651.7555299176,229489.761005791
-38104.1400324726,223611.38581947
-42417.7024391883,220940.727485196
-47298.1076106642,220810.389003444
-55478.6404542863,215313.95231669
-65733.0748614647,214552.706362205
-71721.6581684101,209368.021048332
-106096.695395013,202986.674491314
-108006.136724877,203063.401118768
-112378.883118857,205980.320887869
-117275.632216127,207575.352420927
-122337.747434216,207324.728661738
-136926.370181036,203420.147939492
-143606.913239089,205214.647957281
-133528.804494592,217647.890018221
-121219.745880715,223171.631843808
NA,NA
943345.135894519,429089.962260969
952174.346658056,433935.740712641
949310.754160454,434077.014337656
941435.318916541,430773.727113929
941005.255300462,429621.056767751
943345.135894519,429089.962260969
NA,NA
911277.930253933,425107.064567477
907798.302690493,423957.071453274
908668.394727557,422746.548134002
913234.085477302,421866.428218523
926100.004374155,425108.371883909
925952.509657569,425782.950165695
922388.422681313,426520.724395297
911277.930253933,425107.064567477
NA,NA
867974.879051262,402306.792766358
860743.037675123,394429.318850712
861922.557445004,393236.138057509
873420.557316068,402601.870510529
867974.879051262,402306.792766358
NA,NA
892368.484659502,418383.223758939
877907.033670401,412448.123763197
880877.548239318,411178.312057025
886969.566695598,412695.521869883
903389.35898089,420293.541662772
901655.230591874,420722.202341376
892368.484659502,418383.223758939
NA,NA
353278.697339945,-47832.2493481969
353778.933784204,-49758.3543335992
360403.951788717,-52280.6162623709
362995.953923287,-44980.7969390449
362382.667092865,-43668.2387842795
360841.575847392,-43624.7872773379
